config_name, total_loss_val, interp_val, L1Loss_val, L1Loss_val_interp, loss_hard_base, Ham_loss, Ham_loss_interp, factor2, L2Hinterp2, L2Hmodelerror2, factor3, L2Hinterp3, L2Hmodelerror3, factor4, L2Hinterp4, L2Hmodelerror4, factor5, L2Hinterp5, L2Hmodelerror5, factor6, L2Hinterp6, L2Hmodelerror6
x2_lvl6, 8.856971836165497e-08, 1.4827712288000745e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.575014004796223, 2.071612932429205e-06, 3.6027173514901705e-06, 2.0893632399018847, 2.2659539681908046e-06, 1.0845189218018466e-06, 5.7862136869776055, 2.3809168833941713e-06, 4.11480980861913e-07, 0.11312758155959457, 1.6949874456798714e-06, 1.4982972519278755e-05, 0.0364359921746, 1.1646189453872398e-06, 3.196342066949698e-05
x1_lvl5, 3.3368296105590015e-08, 1.9417623146161972e-07, 1.0543645312471642e-06, 0.0, 1.9417623146161972e-07, 0.0, 0.0, 0.08560442042030411, 2.008271108668988e-08, 2.3459899603416458e-07, 0.11720157554234456, 2.1921281767245956e-08, 1.8703913890070417e-07, 0.1467756436756482, 2.3186234528398977e-08, 1.5797058658885546e-07, 0.04681917755318392, 1.7057896757823586e-08, 3.643356771580788e-07, 0.025819863680522366, 1.3962164704098158e-08, 5.407528435028394e-07
x1_lvl6, 8.226426739738012e-08, 1.2277903282608918e-06, 1.6870621137672598e-06, 0.0, 1.2277903282608918e-06, 0.0, 0.0, 0.035166211583618476, 1.0045850151576458e-07, 2.8566768210699533e-06, 0.07691838597073383, 1.3395876352110354e-07, 1.7415701308666645e-06, 0.12791535078461636, 1.599939996067669e-07, 1.2507802904450813e-06, 0.008980905936201735, 5.773069319944868e-08, 6.4281592090546415e-06, 0.002850426570753645, 2.92932264313972e-08, 1.0276786896373953e-05
x2_lvl5, 9.097884917071173e-08, 6.07349068406585e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6774585917106565, 6.632146374899648e-07, 9.789744282602954e-07, 2.170539752127292, 6.999528081040768e-07, 3.2247868642722183e-07, 3.9172694861872173, 7.200107171887058e-07, 1.8380423397663954e-07, 0.1529684521464292, 5.84881530737379e-07, 3.82354349887453e-06, 0.060978459632253866, 4.883185148677551e-07, 8.008049363868557e-06
x1_lvl7, 8.166936325139189e-07, 5.6728066255402875e-06, 6.21322426025544e-07, 0.0, 5.6728066255402875e-06, 0.0, 0.0, 0.016409177824423204, 5.202823623155164e-07, 3.17067904243889e-05, 0.034454253903614805, 8.11309479593391e-07, 2.3547440088617668e-05, 0.05586065104771059, 1.074489231759583e-06, 1.9235172014766917e-05, 0.004515096193858867, 2.3276406854471287e-07, 5.1552405209285034e-05, 0.0015654297226721534, 1.19275612200377e-07, 7.6193527229556e-05
